text,intent
Premium & when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,Playback_Issue
i’m pissed my shuffle and repeat button just don’t fucking work and i’m getting frustrated,Playback_Issue
Groove Music quits & redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,App_Technical
"Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊",App_Technical
"That stinks. Can you make it a feature, off by default, that I can enable?",Feature_Request
"add lyrics to all songs on ur app pls, apple music can do it u can too",Music_Content
I need help with my account I keep getting charged for an account that is on the free subscription but was once premium,Payment_Refund
put this on spotify please,Music_Content
"I tried to upgrade to premium for 6.99 and my card was charged twice, and i am not even upgraded..please advice!",Payment_Refund
"hi. can you pretty, pretty please put the band ""jank"" back on spotify?",Music_Content
your customer service is poor.... today I was advised to change the password on my hacked account ... might be a challenge don’t you think ?!,Account_Security
Feature Request: Spotify playlists separated from personally made ones. Like does.,Feature_Request
"hi,can i shuffle all download music in one touch?",Playback_Issue
"Dear , why can I not listen to an Audiobook normal on the android app? Why does it only work on shuffle for non premium accounts? Sort of useless having the books available to those who don't subscribe.",Playback_Issue
Student discount via bdo card not working,Family_Student_Plan
I’m being charged for premium but my account is saying I’m not premium and won’t give me premium features?,Payment_Refund
Hey my premium family is gonna expire soon and until now none of my family members can even use it. fix it please,Family_Student_Plan
Put Gfriend’s song “Me Gustas Tu” back on Spotify before I cry myself to sleep,Music_Content
any idea why Spotify premium keeps saying ‘cannot play song’ on multiple tracks and artists?,Playback_Issue
can you please add a feature to only view from releases from artist you follow.,Feature_Request
can you please add a feature to only view releases from artist you follow.,Feature_Request
"hi i think im being charged twice, can you help??",Payment_Refund
Some idiot hacked my Spotify account and changed my email. Best believe I'm getting it back,Account_Security
Why don't you offer the same student discount to the teachers that teach the students? I'm sure would help.,Family_Student_Plan
Got back in to find mobile downloaded playlist deleted and download setting switched off.,Downloads_Offline
"Also: App sometimes suddenly just stops playing music altogether, related to that issues w/ Bluetooth devices (music also stops)",Playback_Issue
what's up with removing the browse/discover? It is the major reason I pay a premium family subscription!,Family_Student_Plan
i invited a new family member to enjoy premium and it said invite came from a person with a different name. Help!,Family_Student_Plan
There are no error messages. Ill try to play it and it just wont and this isnt the first time. Im just wondering why I cant play it,Playback_Issue
I tweeted you earlier today and have not heard back. Someone else is using my account again. This is the second time in a week.,Account_Security
"Ah, wonderful. A random person is listening to my Premium account in France. No idea how I've been hacked, but suppose it can happen on any service.",Account_Security
"why i cant play my playlist folder on iphone app? You are SPOTIFY,guys do it please!",Playback_Issue
can y’all add a feature where I can watch/ listen to adds for more skips? I’m too poor for premium,Feature_Request
"Yo , please add the album ""Guaranteed"" by Morris Day to your library!!",Feature_Request
please can someone tell me how to get shuffle working properly? 😂🙈 what's happened to the app?!,Playback_Issue
Same person) or a song followed by the remix of the same song. So frustrating I want random shuffle! It's the most recent app update on iOS,Playback_Issue
"Obviously they don't work. found workaround: Sort albums/artists by ""name"" then go back to ""songs"" & shuffle again. THIS IS NOT IMPROVEMENT!",Playback_Issue
Shuffling my entire library isn't giving me truly random shuffle. Fix it. smdh. 🤦‍♂️ about to go to pandora. Using Windows 8.1,Playback_Issue
Hey! I was kicked out of my family plan. How can I go back to Premium with that same plan?,Family_Student_Plan
"Nah, I have most my songs offline on my phone and it works perfectly perfect. And also nah, even Adobe Photoshop doesn't crash my laptop.",Downloads_Offline
how do i change my premium account to a student premium one?,Family_Student_Plan
