customer_tweet_id,customer_message,spotify_tweet_id,spotify_response,customer_message_clean,spotify_response_clean,intent
850,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,848,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,Premium & when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,Playback_Issue
855,i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated,854,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",i’m pissed my shuffle and repeat button just don’t fucking work and i’m getting frustrated,"Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",Playback_Issue
862,@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,860,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,Groove Music quits & redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,App_Technical
1870,"@SpotifyCares Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊",1871,"@116128 Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB","Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊","Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB",App_Technical
4995,"@SpotifyCares That stinks. Can you make it a feature, off by default, that I can enable?",4998,@116885 We hear you. We can’t make any promises but we’ll pass your feedback onto the right folks /RH,"That stinks. Can you make it a feature, off by default, that I can enable?",We hear you. We can’t make any promises but we’ll pass your feedback onto the right folks /RH,Feature_Request
5026,@SpotifyCares  All of my songs disappeared from My Songs. They're still in the playlist but I'm not able to view them. https://t.co/lP9IHtod1M,5025,"@116890 Hey, help's here! Can you try logging in on another device or the web player (https://t.co/aT5o0wcN4V)? Are you seeing your songs? /JP",All of my songs disappeared from My Songs. They're still in the playlist but I'm not able to view them.,"Hey, help's here! Can you try logging in on another device or the web player ( Are you seeing your songs? /JP",Playlist_Library
8291,"@SpotifyCares add lyrics to all songs on ur app pls, apple music can do it u can too",8290,"@117452 Hey! If you’re Premium, you can connect your Spotify account to the Musixmatch mobile app to enjoy lyrics: https://t.co/scvbRH6MhL /JS","add lyrics to all songs on ur app pls, apple music can do it u can too","Hey! If you’re Premium, you can connect your Spotify account to the Musixmatch mobile app to enjoy lyrics: /JS",Music_Content
12086,@115888 I need help with my account I keep getting charged for an account that is on the free subscription but was once premium,12085,@118386 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,I need help with my account I keep getting charged for an account that is on the free subscription but was once premium,Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,Payment_Refund
14943,@115888 https://t.co/IZGJd5KWjz put this on spotify please,14942,"@119240 Hey! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /NQ",put this on spotify please,"Hey! We’d love to have all of his stuff available, but we have some info about content here: /NQ",Music_Content
15665,"@115888 I tried to upgrade to premium for 6.99 and my card was charged twice, and i am not even upgraded..please advice!",15664,@119445 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,"I tried to upgrade to premium for 6.99 and my card was charged twice, and i am not even upgraded..please advice!",Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY,Payment_Refund
16203,"@SpotifyCares hi. can you pretty, pretty please put the band ""jank""
back on spotify?",16202,@119557 Hey Claire! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /MG,"hi. can you pretty, pretty please put the band ""jank"" back on spotify?",Hey Claire! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /MG,Music_Content
17067,@SpotifyCares  your customer service is poor.... today I was advised to change the password on my hacked account ... might be a challenge don’t you think ?!,17066,@119768 Sorry to hear you feel that way. We've just sent you more info via DM. We'll continue helping out there /LS,your customer service is poor.... today I was advised to change the password on my hacked account ... might be a challenge don’t you think ?!,Sorry to hear you feel that way. We've just sent you more info via DM. We'll continue helping out there /LS,Account_Security
22010,@115888 @SpotifyCares Feature Request: Spotify playlists separated from personally made ones. Like @115948 does. https://t.co/NgJiXFQRR1,22009,"@120794 Hey Kevin, we appreciate your feedback! Don't worry, we'll let our devs know this is something you'd like to see /GK",Feature Request: Spotify playlists separated from personally made ones. Like does.,"Hey Kevin, we appreciate your feedback! Don't worry, we'll let our devs know this is something you'd like to see /GK",Feature_Request
23260,"@SpotifyCares hi,can i shuffle all download music in one touch?",23259,@121069 Hey there! Can you fire over the device and operating system you're using? We'll see what we can suggest /PL,"hi,can i shuffle all download music in one touch?",Hey there! Can you fire over the device and operating system you're using? We'll see what we can suggest /PL,Playback_Issue
27677,"Dear @116130, why can I not listen to an Audiobook normal on the android app? Why does it only work on shuffle for non premium accounts? Sort of useless having the books available to those who don't subscribe.",27675,"@122049 Hey there! We're afraid playing Audiobook on-demand is a Premium feature. Thanks for the feedback, we’ll get this passed onto the right team. For anything else, let us know /GU","Dear , why can I not listen to an Audiobook normal on the android app? Why does it only work on shuffle for non premium accounts? Sort of useless having the books available to those who don't subscribe.","Hey there! We're afraid playing Audiobook on-demand is a Premium feature. Thanks for the feedback, we’ll get this passed onto the right team. For anything else, let us know /GU",Playback_Issue
31595,@115888 Student discount via bdo card not working,31594,@122970 Hey! Could you send us a DM with your account's email address or username? We'll take a look /AY https://t.co/ldFdZRiNAt,Student discount via bdo card not working,Hey! Could you send us a DM with your account's email address or username? We'll take a look /AY,Family_Student_Plan
32071,@116130 I’m being charged for premium but my account is saying I’m not premium and won’t give me premium features?,32070,@123093 Hey Liz! Could you send us a DM with your account's email address? We'll take a look backstage /MA https://t.co/ldFdZRiNAt,I’m being charged for premium but my account is saying I’m not premium and won’t give me premium features?,Hey Liz! Could you send us a DM with your account's email address? We'll take a look backstage /MA,Payment_Refund
32481,Hey @115888  my premium family is gonna expire soon and until now none of my family members can even use it. fix it please,32480,@123206 Hey! Can you DM us your account's email address? We'll see what we can suggest /CB https://t.co/ldFdZRiNAt,Hey my premium family is gonna expire soon and until now none of my family members can even use it. fix it please,Hey! Can you DM us your account's email address? We'll see what we can suggest /CB,Family_Student_Plan
