customer_tweet_id,customer_message,spotify_tweet_id,spotify_response,customer_message_clean,spotify_response_clean,cluster
1269688,Hey @115888 why does Gloria Gaynor’s Hits &amp; Mixes play when I’m trying to listen to Redbone? https://t.co/3MDcOb9HEQ,1269687,@417278 Hi Charlotte! Can you DM us your account's username or email address? We'll check backstage /MC https://t.co/ldFdZRiNAt,Hey why does Gloria Gaynor’s Hits & Mixes play when I’m trying to listen to Redbone?,Hi Charlotte! Can you DM us your account's username or email address? We'll check backstage /MC,6
38942,@SpotifyCares How about you guys just make it happen as it will be an increased revenue stream and it's the right thing to do?,38944,@124502 We hear you loud and clear. We can’t make any promises but we’ll pass your feedback onto the right folks 🙂 /JI,How about you guys just make it happen as it will be an increased revenue stream and it's the right thing to do?,We hear you loud and clear. We can’t make any promises but we’ll pass your feedback onto the right folks 🙂 /JI,0
152217,@115888 Kan ni inte ge oss trogna Spotifypremium kunder sen 10 år - en gratis premiumperiod..? 🙏😏,639959,"@271807 Hey Följa! We can help out in English via Twitter, but we also have Swedish support via email at https://t.co/ZgU70TbP8M /SJ",Kan ni inte ge oss trogna Spotifypremium kunder sen 10 år - en gratis premiumperiod..? 🙏😏,"Hey Följa! We can help out in English via Twitter, but we also have Swedish support via email at /SJ",0
1098977,@115888 can you put all logics mixtapes on spotify,1098976,"@379331 Hey Miguel! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8Gpi4TeA /AR",can you put all logics mixtapes on spotify,"Hey Miguel! We’d love to have all of his stuff available, but we have some info about content here: /AR",2
850031,"@SpotifyCares Phone updates everything in the night, with express permission. I'd guess it was around the start of September, though",850032,@321972 Can you DM us your account's username or email address? We'll check backstage /NG https://t.co/ldFdZRiNAt,"Phone updates everything in the night, with express permission. I'd guess it was around the start of September, though",Can you DM us your account's username or email address? We'll check backstage /NG,5
1686503,@SpotifyCares account has been hacked and you have no customer service phone number please contact me ASAP,1686502,@512227 Hi! We've just replied to your DM. We'll carry on helping there /MQ,account has been hacked and you have no customer service phone number please contact me ASAP,Hi! We've just replied to your DM. We'll carry on helping there /MQ,9
2755866,@SpotifyCares if u really care you'd respond...,2755865,@697521 Hey! We've just sent a DM your way. Let's carry on chatting there 🙂 /L,if u really care you'd respond...,Hey! We've just sent a DM your way. Let's carry on chatting there 🙂 /L,0
908529,@117153 @SpotifyCares Won't login on iPhone app for at least 1 week now. The login screen doesn't even show. Please do something. Money is being wasted.,1920917,"@571854 Hey there, help's here! Can you DM us a screenshot of what you're seeing on your end? We'll see what we can suggest 🙂 /CG https://t.co/ldFdZRiNAt",Won't login on iPhone app for at least 1 week now. The login screen doesn't even show. Please do something. Money is being wasted.,"Hey there, help's here! Can you DM us a screenshot of what you're seeing on your end? We'll see what we can suggest 🙂 /CG",6
2295634,"@SpotifyCares “Crazy Ex-Girlfriend” is missing 2 songs, “Revolution” is missing 4 songs, and “Four the Record” is missing 3 songs. Weird. Those albums probably need to be readded in full.",2295636,@543882 Hmm. Could you confirm the country where your Spotify account is set to? We'll dig deeper /KB,"“Crazy Ex-Girlfriend” is missing 2 songs, “Revolution” is missing 4 songs, and “Four the Record” is missing 3 songs. Weird. Those albums probably need to be readded in full.",Hmm. Could you confirm the country where your Spotify account is set to? We'll dig deeper /KB,0
223062,@115888 Do I have to search the original email???,223060,"@169282 Hi there. If your Spotify is connected to Facebook, you can add up friends using the app. More info here: https://t.co/OTTdhmb5lH /JU",Do I have to search the original email???,"Hi there. If your Spotify is connected to Facebook, you can add up friends using the app. More info here: /JU",9
