text,expected_intent,predicted_intent,intent_correct,confidence,expected_action,predicted_action,action_correct,reason
. feature request: when playing a playlist or album have a position indicator maybe dots or a bar under album art thx luv u,Feature_Request,Feature_Request,True,0.7413,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"ok 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least",Account_Security,Account_Security,True,0.7907,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
hi! why isn't there a spotify app for Windows Surface 2? the web player doesn't work :( very disappointing :((,App_Technical,App_Technical,True,0.7172,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"I'm still waiting, I pay my m9nwy and no help from you guys, wth am I paying for???? I want a refund now!!!!!!!",Payment_Refund,Payment_Refund,True,0.8392,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
music. Only once I got an error that said i couldn't add a song to my queue. Now the option just doesn't exist (2/2,App_Technical,Music_Content,False,0.766,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"I am having trouble logging in to my account. I can't login with FB, my email or anything. I have a premium account.",Login_Issue,Login_Issue,True,0.6606,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"my family member got kicked off my plan, and we're getting errors when we type in our address to get him back on.Can you help?",Family_Student_Plan,Family_Student_Plan,True,0.7028,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
fuck you and your piece of shit shuffle feature,Playback_Issue,Playback_Issue,True,0.5616,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
why are entire albums that were just released on Spotify less than two weeks ago now suddenly saying they are unavailable? Same goes with others that have been on there for years that won't play now. Why even list them?,Playback_Issue,Playback_Issue,True,0.5361,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
How is taking up so much room? I delete and redownload bi-weekly. I don't have any offline downloads either. ☹️ #1stWorldProblems,Downloads_Offline,Downloads_Offline,True,0.7907,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"I have a premium account but I want the student discount, but I currently pay with iDeal, and when I want to activate the student deal, I have to fill in my info for a creditcard. Why and is there a way I can pay with iDeal like I am doing now? #Netherlands #Spotify",Family_Student_Plan,Family_Student_Plan,True,0.5353,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
hi! I just paid for my premium student account but i am still on free??! please fix that. i didnt even got an email but the money is already charged from my bank account,Family_Student_Plan,Premium_Subscription,False,0.5034,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
"Either my mobile (android) or desktop (windows 10). It doesnt respond when i click them, if i try shuffle i get ""this song is not available""",Playback_Issue,Playback_Issue,True,0.5747,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
help! Was exploring the family plan but then it was actually purchased!,Family_Student_Plan,Family_Student_Plan,True,0.9343,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
I was charged for premium 3 days ago... It still shows I have a free account and dont have premium features... Please help. 🙏,Premium_Subscription,Premium_Subscription,True,0.5511,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
"Hey, . . . So, it's 2017, and you guys have THE killer music-streaming app . . . So tell me how I can truly randomize a 300-song shuffle on a 300-song playlist on my mobile device? Come on. Impress me. I fucking DARE you.",Playback_Issue,Playback_Issue,True,0.4123,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
all my saved music has been deleted for the second time in 2 weeks. Why is this happening? Can’t listen offline.,Downloads_Offline,Downloads_Offline,True,0.7925,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
I'd like a refund,Payment_Refund,Payment_Refund,True,0.9225,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
Feature Request: Make it easy to separate singles from albums in new releases.,Feature_Request,Feature_Request,True,0.7659,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"Hello, i signed up to an existing Family plan, but my account dont upgrade...",Family_Student_Plan,Family_Student_Plan,True,0.733,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
can you add a feature so I can block certain artists from my music feed? Like I never wanna hear the craptastic or ever again and ive been thumbing them down since signing up. #stopshittymusic,Feature_Request,Music_Content,False,0.442,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
Thanks. Did Webchat and they sorted it. I'd been hacked.,Account_Security,Account_Security,True,0.7953,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
Am I the only one that has been charged twice this month by Spotify?,Payment_Refund,Payment_Refund,True,0.9875,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
you should add a functionality: sort tracks by bpm. #asap,Feature_Request,Feature_Request,True,0.6346,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"I paid for a premium family plan, all the other accounts are working but my account does not receive the premium features. My account username is sarimr_12. Please help with this issue.",Family_Student_Plan,Family_Student_Plan,True,0.4354,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
is there a reason why you only accept Unidays and not for your student discount?,Family_Student_Plan,Family_Student_Plan,True,0.9334,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"feature request: bluetooth pair w/ treadmill, adjust treadmill speed to my current song's BPM so I can always run to the beat. Playlists automatically become curated workouts",Feature_Request,Feature_Request,True,0.6282,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
Hey i suscribed to Spotify Premium with the Student discount but i still don't have SpotifyPremium activated on my account,Family_Student_Plan,Family_Student_Plan,True,0.703,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
is there a way to know if I’m adding a duplicate song within a folder of music?,Music_Content,Music_Content,True,0.8227,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"What the hell, Canada?! I want to listen to some older albums at work, and it turns out a bunch of them are missing/unplayable! Users have confirmed they're available on Spotify USA. HE'S. CANADIAN. I'M. CANADIAN. Ugh, I hate this licensing crap.",Music_Content,Music_Content,True,0.5866,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
hey someone else has been in my account but i changed the PW so np but i was already premium but not anymore whats going on?,Account_Security,Account_Security,True,0.321,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"The AI model is not confident enough about the customer's issue, so human review is safer."
My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,Account_Security,Account_Security,True,0.8954,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
the app keeps deleting offline/saved songs off of my phone with no warning. I have plenty of space on it. Samsung S6 Edge.,Downloads_Offline,Downloads_Offline,True,0.6429,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"I just got kicked off my family plan and can’t get back on it. Every time I put in the confirmation, “something went wrong”",Family_Student_Plan,Family_Student_Plan,True,0.7772,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
have been charged twice $9.99 for a personal account when I want a family account for $14.99. Can you fix this...acct Cervelott,Payment_Refund,Payment_Refund,True,0.6981,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
Maintenance? We can't login. 🙁,Login_Issue,Login_Issue,True,0.8197,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
can y’all put Beyoncé’s lemonade album on Spotify already 🤦🏻‍♀️,Music_Content,Music_Content,True,0.7149,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
Hey you should add music videos to your repertoire,Music_Content,Music_Content,True,0.7139,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
shuffle is broken. on playlists the app will play 10-20 songs off the same two albums if possible then switches to two other albums. doesn’t feel random at all when a large playlist with dozens of albums only shuffles through 2 at a time.,Playback_Issue,Playback_Issue,True,0.718,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"hey I wanted to cancel my subscription cause I can't afford it on my student budget, but instead y'all deactivated my account? I was hoping to start a family plan in January ;-;",Family_Student_Plan,Family_Student_Plan,True,0.6772,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
Hulu says it cannot authorize my spotify account when trying to sign for the student premium deal. Need help,Family_Student_Plan,Family_Student_Plan,True,0.5928,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
"have Premium for Family. Trying to set up daughter's profile, redeem code not working. Have resent invite twice. Please advise",Family_Student_Plan,Premium_Subscription,False,0.4732,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
Microsoft is promoting their Music Pass Costumers to Spotify but you're Mobile App is Crashing after 10Minutes of use and is not up-to-date.,App_Technical,App_Technical,True,0.6636,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"No, its just on pc that doesn't work. Reinstalled the app and cleared appdata folder, still not working",App_Technical,App_Technical,True,0.8798,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"Please add the ""explicit"" tag to the following song spotify:track:021txSheRym293iUdf6vPZ at 50 seconds in is the F word",Music_Content,Music_Content,True,0.5794,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
My premium account just expired and I only realized this when I got hit with an advertisement. I didn't get any warnings either - maybe because I'm not the administrator of my family account?? That should likely be fixed.,Premium_Subscription,Premium_Subscription,True,0.5743,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
Hey why does your app crash when I press play on any of my music??,App_Technical,App_Technical,True,0.5998,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
hi. My account appears to have been hacked. How do I resolve this issues?,Account_Security,Account_Security,True,0.8046,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
hey I paid for the £99 for a year subscription however when I go to my account settings it still says I am going to be charged £9.99 each month whats going on..? I don't want to pay twice!,Payment_Refund,Payment_Refund,True,0.5651,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"The AI model is not confident enough about the customer's issue, so human review is safer."
"dear could you PLEASE PLEASE add ""Independent"" by Uppermost to Spotify itself, thank you so much if you do that.",Music_Content,Feature_Request,False,0.7931,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"Guys, I can't log in! The reset password page doesn't recognise my email, but says it is attached to an account",Login_Issue,Login_Issue,True,0.7736,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
when i push “shuffle” i actually want you to shuffle my songs. don’t act like you know me like that.,Playback_Issue,Playback_Issue,True,0.8159,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
Hey it'd be awesome if my account would not get hacked twice in three days 🖕.,Account_Security,Account_Security,True,0.8983,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
When will Harry’s cover of The Chain be put on Spotify I’m tired of waiting,Music_Content,Music_Content,True,0.4705,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
I am unable to log in on your website. Pretty much everything i click on throws an error saying to many redirects. I have tried multiple browsers and cleared the cookies on them still no luck.,Login_Issue,Login_Issue,True,0.5059,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
so I went to try out the student discount for Hulu but they charged me even thought I didn’t sign up for it after all what’s going on??,Payment_Refund,Family_Student_Plan,False,0.7142,ESCALATE_TO_HUMAN,AUTO_HANDLE,False,This appears to be a common support issue with a standard troubleshooting or informational response.
I am still being charged on my visa card even after I have cancelled the subscription. Please give me refund.,Payment_Refund,Payment_Refund,True,0.9303,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Payment_Refund, which may require account-specific verification or sensitive information."
It would be great if you could block artists from radio.,Feature_Request,Feature_Request,True,0.5628,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
"Some albums won't play - it seems entirely random and I've tried on desktop and app, saving as well as downloading. It makes no sense.",Playback_Issue,Playback_Issue,True,0.642,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"please add a ""delete cache"" button...just had to uninstall app to free space on my phone!",Feature_Request,Feature_Request,True,0.5193,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
"why is the web player not working?? Keeps stopping randomly and won't play, driving me crazy 😤😤",Playback_Issue,Playback_Issue,True,0.5999,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
hey y'all can you please add tracks from blind guardian's nightfall on middle earth album to the might and myth: power metal playlist.,Music_Content,Feature_Request,False,0.6226,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
my app is not working,App_Technical,App_Technical,True,0.9665,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
Have you been hacked? Yes or No?,Account_Security,Account_Security,True,0.9606,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,"This issue belongs to Account_Security, which may require account-specific verification or sensitive information."
Hey my android version of the app randomly pauses on its own. Just thought I'd report the bug.,App_Technical,App_Technical,True,0.636,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
ill cant log in and when i try to chabge my password it says the code timed out,Login_Issue,Login_Issue,True,0.7262,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"The only reason I pay for spotify is so I can listen to music offline, e.g. on the tube",Downloads_Offline,Downloads_Offline,True,0.76,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"my friend signed up for premium, deducted the $4.99 but she’s still on the free account, it won’t let her go premium",Premium_Subscription,Premium_Subscription,True,0.7823,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
Please add Again-Bruno Mars,Music_Content,Feature_Request,False,0.9972,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
I apologize for the confusion. I already have the web player downloaded. What I mean is there used to be add ons/apps within the app. One I recall was Pitchfork. I don't see them anymore. I'm trying to find ways to find music in other countries,Music_Content,Music_Content,True,0.3498,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
help already storage location keeps changing and downloaded music is gone. No offline for me. Re-download every day?,Downloads_Offline,Downloads_Offline,True,0.8895,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
put the new wdw ep on spotify come on,Music_Content,Music_Content,True,0.5461,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
"Hey why when I shuffle my whole library, do I only get stuff I’ve listened to recently? All filters off, etc.",Playback_Issue,Playback_Issue,True,0.5984,AUTO_HANDLE,ESCALATE_TO_HUMAN,False,"The AI model is not confident enough about the customer's issue, so human review is safer."
"Just an idea. On their birthday, your premium users can legally downloaded songs from one of their playlist. Not offline download",Feature_Request,Downloads_Offline,False,0.7601,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
"Why I can't login to my spotify account? The username & password right, but keep back to login again after that",Login_Issue,Login_Issue,True,0.9644,AUTO_HANDLE,AUTO_HANDLE,True,This appears to be a common support issue with a standard troubleshooting or informational response.
