customer_tweet_id,customer_message,spotify_tweet_id,spotify_response,customer_message_clean,spotify_response_clean,intent
850,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,848,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,Premium & when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,Premium_Subscription
855,i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated,854,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",i’m pissed my shuffle and repeat button just don’t fucking work and i’m getting frustrated,"Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",Playback_Issue
857,"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨",859,@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS,"Yes, multiple times. No changes. I am Premium User an when send us users to Spotify there should be a bugfree running App 🤨",Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: /RS,Premium_Subscription
862,@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,860,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,Groove Music quits & redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,App_Technical
2809,.@SpotifyCares any way to block this particular ad? Happy with ads/dont want premium. Just this ad is really hard to watch over and over and over. Please help. https://t.co/MsW8FjmKw1,2808,@116377 Hey there! Thanks for taking the time to reach out – we'll pass your feedback on to our Ads team /NQ,. any way to block this particular ad? Happy with ads/dont want premium. Just this ad is really hard to watch over and over and over. Please help.,Hey there! Thanks for taking the time to reach out – we'll pass your feedback on to our Ads team /NQ,Premium_Subscription
2811,@115888 Im already a premium user can i still avail this promo?,2810,"@116378 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",Im already a premium user can i still avail this promo?,"Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG",Premium_Subscription
2875,@SpotifyCares I'm using my facebook account as a method to log in.,2874,@116386 We see. Could you DM us your Facebook profile's email address? We'll help out there /CG https://t.co/ldFdZRiNAt,I'm using my facebook account as a method to log in.,We see. Could you DM us your Facebook profile's email address? We'll help out there /CG,Login_Issue
2949,"@SpotifyCares Hi. My @115888 playlists idea's status got changed + can't receive any votes. They sent me a link to a ""similar idea"", but it's closed.",2947,@116393 Hi Daniel! Can you send us the link to the idea you posted? We'll take a look at what happened 🙂 /NH,"Hi. My playlists idea's status got changed + can't receive any votes. They sent me a link to a ""similar idea"", but it's closed.",Hi Daniel! Can you send us the link to the idea you posted? We'll take a look at what happened 🙂 /NH,Playlist_Library
4997,@SpotifyCares what happened to the iOS tap and hold to preview a song feature? I loved it for queuing songs to a playlist.,4994,@116885 Hey! We have more info about this here: https://t.co/pXBCq8GlsI. Give us a shout if you have any questions /RH,what happened to the iOS tap and hold to preview a song feature? I loved it for queuing songs to a playlist.,Hey! We have more info about this here: Give us a shout if you have any questions /RH,Feature_Request
4995,"@SpotifyCares That stinks. Can you make it a feature, off by default, that I can enable?",4998,@116885 We hear you. We can’t make any promises but we’ll pass your feedback onto the right folks /RH,"That stinks. Can you make it a feature, off by default, that I can enable?",We hear you. We can’t make any promises but we’ll pass your feedback onto the right folks /RH,Feature_Request
4999,@SpotifyCares I used to use that feature as an example of great UX. 😂🙈🙉🙊,5000,"@116885 We understand. Don't worry, we'll let the right team know it's something you'd like to see again /NS",I used to use that feature as an example of great UX. 😂🙈🙉🙊,"We understand. Don't worry, we'll let the right team know it's something you'd like to see again /NS",Feature_Request
4996,"@SpotifyCares @116885 I can't fathom why you'd get rid of such an unique, useful feature. us heavy-users feel truly alienated/betrayed. please make this right!",5001,"@116886 Hey Paula, we appreciate your feedback! Don't worry, we'll let our devs know this is something you'd like to see again /GK","I can't fathom why you'd get rid of such an unique, useful feature. us heavy-users feel truly alienated/betrayed. please make this right!","Hey Paula, we appreciate your feedback! Don't worry, we'll let our devs know this is something you'd like to see again /GK",Feature_Request
5005,"@116886 @SpotifyCares The truth is, although Spotify Cares, they've obviously already found the feature to not be useful to the masses. We are outliers. 😓",5006,"@116885 We're sorry if you feel that way. In any case, we appreciate your feedback on this. Feel free to tweet us if there's anything else /GK","The truth is, although Spotify Cares, they've obviously already found the feature to not be useful to the masses. We are outliers. 😓","We're sorry if you feel that way. In any case, we appreciate your feedback on this. Feel free to tweet us if there's anything else /GK",Feature_Request
5020,"@SpotifyCares BTW I have a confirmation email to say my email address was updated, then got an email to say my subscription had been cancelled?",5019,@116889 Hey Lauren! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,"BTW I have a confirmation email to say my email address was updated, then got an email to say my subscription had been cancelled?",Hey Lauren! Can you DM us your account's email address or username? We'll take a look /NS,Premium_Subscription
6485,@117153 @SpotifyCares Im paying for premium but every time i log in it keeps saying free service,6484,@117152 Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,Im paying for premium but every time i log in it keeps saying free service,Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR,Login_Issue
7011,@117153 y'all charged my account 8 times ..... uhhh,7010,@117213 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,y'all charged my account 8 times ..... uhhh,Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR,Payment_Refund
8424,@SpotifyCares I login with facebook (__email__) - but i think my email account for spotify is my old one (__email__)  that is now defunct. What can I do?,8426,@117482 We'd recommend deleting your last tweet as it contains sensitive account info. You can DM it to us instead /NY https://t.co/ldFdZRiNAt,I login with facebook (__email__) - but i think my email account for spotify is my old one (__email__) that is now defunct. What can I do?,We'd recommend deleting your last tweet as it contains sensitive account info. You can DM it to us instead /NY,Login_Issue
8676,@SpotifyCares Can't access my account. Annoyed that I have to tweet to get tech support for a service I pay for 😡,8675,@117525 Hey Alex! Can you DM us your account's email address or username? We'll take a look backstage /RH https://t.co/ldFdZRiNAt,Can't access my account. Annoyed that I have to tweet to get tech support for a service I pay for 😡,Hey Alex! Can you DM us your account's email address or username? We'll take a look backstage /RH,Login_Issue
9362,@642 @115888 @SpotifyCares my spotify premium stopped working,9361,@117671 Hey there! Can you DM us your account's email address? We'll take a look backstage /RB https://t.co/ldFdZRiNAt,my spotify premium stopped working,Hey there! Can you DM us your account's email address? We'll take a look backstage /RB,Premium_Subscription
10720,@115888 Hi. I can't log on to my premium account. Are there any problems at your end?,10719,@117979 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,Hi. I can't log on to my premium account. Are there any problems at your end?,Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR,Premium_Subscription
12073,@115888 My kids wanted premium but your student deals are only for college/ uni kids. Won't you consider the younger kids that are addicted to Spotify too?,12069,"@118383 2: You might be interested in Premium for Family. More info at https://t.co/KJ8ayuKPFM. Any questions, give us a shout 🙂 /KC",My kids wanted premium but your student deals are only for college/ uni kids. Won't you consider the younger kids that are addicted to Spotify too?,"2: You might be interested in Premium for Family. More info at Any questions, give us a shout 🙂 /KC",Premium_Subscription
