text,intent,expected_action
. feature request: when playing a playlist or album have a position indicator maybe dots or a bar under album art thx luv u,Feature_Request,AUTO_HANDLE
"ok 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least",Account_Security,ESCALATE_TO_HUMAN
hi! why isn't there a spotify app for Windows Surface 2? the web player doesn't work :( very disappointing :((,App_Technical,AUTO_HANDLE
"I'm still waiting, I pay my m9nwy and no help from you guys, wth am I paying for???? I want a refund now!!!!!!!",Payment_Refund,ESCALATE_TO_HUMAN
music. Only once I got an error that said i couldn't add a song to my queue. Now the option just doesn't exist (2/2,Music_Content,AUTO_HANDLE
"I am having trouble logging in to my account. I can't login with FB, my email or anything. I have a premium account.",Login_Issue,AUTO_HANDLE
"my family member got kicked off my plan, and we're getting errors when we type in our address to get him back on.Can you help?",Family_Student_Plan,AUTO_HANDLE
fuck you and your piece of shit shuffle feature,Playback_Issue,AUTO_HANDLE
why are entire albums that were just released on Spotify less than two weeks ago now suddenly saying they are unavailable? Same goes with others that have been on there for years that won't play now. Why even list them?,Playback_Issue,AUTO_HANDLE
How is taking up so much room? I delete and redownload bi-weekly. I don't have any offline downloads either. ☹️ #1stWorldProblems,Downloads_Offline,AUTO_HANDLE
"I have a premium account but I want the student discount, but I currently pay with iDeal, and when I want to activate the student deal, I have to fill in my info for a creditcard. Why and is there a way I can pay with iDeal like I am doing now? #Netherlands #Spotify",Family_Student_Plan,AUTO_HANDLE
hi! I just paid for my premium student account but i am still on free??! please fix that. i didnt even got an email but the money is already charged from my bank account,Premium_Subscription,AUTO_HANDLE
"Either my mobile (android) or desktop (windows 10). It doesnt respond when i click them, if i try shuffle i get ""this song is not available""",Playback_Issue,AUTO_HANDLE
help! Was exploring the family plan but then it was actually purchased!,Family_Student_Plan,AUTO_HANDLE
I was charged for premium 3 days ago... It still shows I have a free account and dont have premium features... Please help. 🙏,Premium_Subscription,AUTO_HANDLE
"Hey, . . . So, it's 2017, and you guys have THE killer music-streaming app . . . So tell me how I can truly randomize a 300-song shuffle on a 300-song playlist on my mobile device? Come on. Impress me. I fucking DARE you.",Playback_Issue,AUTO_HANDLE
all my saved music has been deleted for the second time in 2 weeks. Why is this happening? Can’t listen offline.,Downloads_Offline,AUTO_HANDLE
I'd like a refund,Payment_Refund,ESCALATE_TO_HUMAN
Feature Request: Make it easy to separate singles from albums in new releases.,Feature_Request,AUTO_HANDLE
"Hello, i signed up to an existing Family plan, but my account dont upgrade...",Family_Student_Plan,AUTO_HANDLE
can you add a feature so I can block certain artists from my music feed? Like I never wanna hear the craptastic or ever again and ive been thumbing them down since signing up. #stopshittymusic,Music_Content,AUTO_HANDLE
Thanks. Did Webchat and they sorted it. I'd been hacked.,Account_Security,ESCALATE_TO_HUMAN
Am I the only one that has been charged twice this month by Spotify?,Payment_Refund,ESCALATE_TO_HUMAN
you should add a functionality: sort tracks by bpm. #asap,Feature_Request,AUTO_HANDLE
"I paid for a premium family plan, all the other accounts are working but my account does not receive the premium features. My account username is sarimr_12. Please help with this issue.",Family_Student_Plan,AUTO_HANDLE
is there a reason why you only accept Unidays and not for your student discount?,Family_Student_Plan,AUTO_HANDLE
"feature request: bluetooth pair w/ treadmill, adjust treadmill speed to my current song's BPM so I can always run to the beat. Playlists automatically become curated workouts",Feature_Request,AUTO_HANDLE
Hey i suscribed to Spotify Premium with the Student discount but i still don't have SpotifyPremium activated on my account,Family_Student_Plan,AUTO_HANDLE
is there a way to know if I’m adding a duplicate song within a folder of music?,Music_Content,AUTO_HANDLE
"What the hell, Canada?! I want to listen to some older albums at work, and it turns out a bunch of them are missing/unplayable! Users have confirmed they're available on Spotify USA. HE'S. CANADIAN. I'M. CANADIAN. Ugh, I hate this licensing crap.",Music_Content,AUTO_HANDLE
hey someone else has been in my account but i changed the PW so np but i was already premium but not anymore whats going on?,Account_Security,ESCALATE_TO_HUMAN
My account has been hacked and I'm locked out of both resetting my password and changing my email address. Any help you can offer?,Account_Security,ESCALATE_TO_HUMAN
the app keeps deleting offline/saved songs off of my phone with no warning. I have plenty of space on it. Samsung S6 Edge.,Downloads_Offline,AUTO_HANDLE
"I just got kicked off my family plan and can’t get back on it. Every time I put in the confirmation, “something went wrong”",Family_Student_Plan,AUTO_HANDLE
have been charged twice $9.99 for a personal account when I want a family account for $14.99. Can you fix this...acct Cervelott,Payment_Refund,ESCALATE_TO_HUMAN
Maintenance? We can't login. 🙁,Login_Issue,AUTO_HANDLE
can y’all put Beyoncé’s lemonade album on Spotify already 🤦🏻‍♀️,Music_Content,AUTO_HANDLE
Hey you should add music videos to your repertoire,Music_Content,AUTO_HANDLE
shuffle is broken. on playlists the app will play 10-20 songs off the same two albums if possible then switches to two other albums. doesn’t feel random at all when a large playlist with dozens of albums only shuffles through 2 at a time.,Playback_Issue,AUTO_HANDLE
"hey I wanted to cancel my subscription cause I can't afford it on my student budget, but instead y'all deactivated my account? I was hoping to start a family plan in January ;-;",Family_Student_Plan,AUTO_HANDLE
Hulu says it cannot authorize my spotify account when trying to sign for the student premium deal. Need help,Family_Student_Plan,AUTO_HANDLE
"have Premium for Family. Trying to set up daughter's profile, redeem code not working. Have resent invite twice. Please advise",Premium_Subscription,AUTO_HANDLE
Microsoft is promoting their Music Pass Costumers to Spotify but you're Mobile App is Crashing after 10Minutes of use and is not up-to-date.,App_Technical,AUTO_HANDLE
"No, its just on pc that doesn't work. Reinstalled the app and cleared appdata folder, still not working",App_Technical,AUTO_HANDLE
"Please add the ""explicit"" tag to the following song spotify:track:021txSheRym293iUdf6vPZ at 50 seconds in is the F word",Music_Content,AUTO_HANDLE
