text,expected_intent,retrieved_intent,intent_match,similarity_score,historical_reply
. feature request: when playing a playlist or album have a position indicator maybe dots or a bar under album art thx luv u,Feature_Request,Feature_Request,True,0.9999999999999999,@194236 We can see how that’d be useful! Suggest it in our Community where you can get support from other fans: https://t.co/WgY7GXI7jf /JN
"ok 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least",Account_Security,Account_Security,True,0.9999999999999999,"@126139 Hey Jessie! Don't worry, our Accounts team is currently looking into your case. If there's anything at all that we can help with, just send us a DM. We'll see what we can do /KT"
hi! why isn't there a spotify app for Windows Surface 2? the web player doesn't work :( very disappointing :((,App_Technical,App_Technical,True,1.0000000000000004,"@219804 2: it in our Community at https://t.co/rtDvYZOF32 and get support from other users. For anything else, just give us a shout /MU"
"I'm still waiting, I pay my m9nwy and no help from you guys, wth am I paying for???? I want a refund now!!!!!!!",Payment_Refund,Payment_Refund,True,1.0000000000000002,@654633 Hi Anitra! Apologies for the delay. We've just sent you a bit more info over DM. We'll carry on helping out there /CP
music. Only once I got an error that said i couldn't add a song to my queue. Now the option just doesn't exist (2/2,App_Technical,Music_Content,False,1.0000000000000004,@519156 Hmm. Can you DM us a screenshot of what you're seeing? We'll see what we can suggest /YM https://t.co/ldFdZRiNAt
"I am having trouble logging in to my account. I can't login with FB, my email or anything. I have a premium account.",Login_Issue,Login_Issue,True,1.0,@741938 Hey! We've just sent you a DM. Check your inbox /RH
"my family member got kicked off my plan, and we're getting errors when we type in our address to get him back on.Can you help?",Family_Student_Plan,Family_Student_Plan,True,1.0,"@534666 Hey Emily, help's here! Can you DM us yours and your family member's email addresses and usernames? We'll get to the bottom of this 🙂 /CG https://t.co/ldFdZRiNAt"
fuck you and your piece of shit shuffle feature,Playback_Issue,Playback_Issue,True,1.0,@570898 Hi Bryan! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od /DR
why are entire albums that were just released on Spotify less than two weeks ago now suddenly saying they are unavailable? Same goes with others that have been on there for years that won't play now. Why even list them?,Playback_Issue,Playback_Issue,True,1.0,@494825 Hey Kurt! Can you send us the Album Links? Just tap the three dots &gt; Share &gt; Copy Link. What country is your account set to? We'll check things out /AY
How is taking up so much room? I delete and redownload bi-weekly. I don't have any offline downloads either. ☹️ #1stWorldProblems,Downloads_Offline,Downloads_Offline,True,0.9999999999999998,"@586234 Hey Aaron, thanks for the screenshot! Can you DM us your account's email address so we can take a closer look backstage? /RR https://t.co/ldFdZRiNAt"
"I have a premium account but I want the student discount, but I currently pay with iDeal, and when I want to activate the student deal, I have to fill in my info for a creditcard. Why and is there a way I can pay with iDeal like I am doing now? #Netherlands #Spotify",Family_Student_Plan,Family_Student_Plan,True,1.0000000000000004,@393455 Hey Roxy! Can you DM us your account's username and email address? We'll take a look backstage /TF
hi! I just paid for my premium student account but i am still on free??! please fix that. i didnt even got an email but the money is already charged from my bank account,Family_Student_Plan,Premium_Subscription,False,1.0000000000000004,"@672810 Hey Paul, help's here! Can you send us your account's email address or username via DM? We'll take a look backstage /JE https://t.co/ldFdZRiNAt"
