example_id,customer_message,support_reply,human_quality
1,"My premium account, suddenly turn in to a free account, I have paid but I just can't go back to premium! I think it is cause of my address",@264904 Can you DM us your account's email address? We'll have a look backstage /ST https://t.co/ldFdZRiNAt,PARTIAL
2,"Hey, . . . So, it's 2017, and you guys have THE killer music-streaming app . . . So tell me how I can truly randomize a 300-song shuffle on a 300-song playlist on my mobile device? Come on. Impress me. I fucking DARE you.",@768363 Hi there! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od /DV,PARTIAL
3,hey someone else has been in my account but i changed the PW so np but i was already premium but not anymore whats going on?,"@498545 Hey, help's here! Can you send us your account's username or email address via DM? We'll take a look /PL https://t.co/ldFdZRiNAt",GOOD
4,why my hacked Spotify is doing this?,@397725 Hey! What’s happening exactly? Can you let us know the device/OS and Spotify version you’re using? We'll see what we can suggest /CO,PARTIAL
5,Please add last.fm support for remote devices. Really shouldn't be that hard to implement from the backend.,@340577 We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF,GOOD
6,"your adds are more compressed, hasher and alot louder than the music. Sort that out ya nearly blew my ears out and nt near full vol","@563422 Hey! Thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /PL",POOR
7,I apologize for the confusion. I already have the web player downloaded. What I mean is there used to be add ons/apps within the app. One I recall was Pitchfork. I don't see them anymore. I'm trying to find ways to find music in other countries,"@638926 Got it. We're afraid it's no longer available, but thanks for your feedback. We'll be sure to let the right team know it's something you'd like to see again. For anything else, just give us a shout 🙂 /MA",GOOD
8,"Streaming isn’t working, for ex. I can’t listen to any of the xx. And all my offline playlist disappeared.",@436840 Thanks. Can you DM us your account's username or email address? We'll take a look backstage /JP https://t.co/ldFdZRiNAt,PARTIAL
9,Hi - where might I find the ‘shuffle entire library’ button?,@710749 Hey Noah! This sounds like a great feature! You can add your support to a similar idea here: https://t.co/4AnYWCNAi4 🙂 /NG,PARTIAL
10,My premium account just expired and I only realized this when I got hit with an advertisement. I didn't get any warnings either - maybe because I'm not the administrator of my family account?? That should likely be fixed.,@298858 Hi Anuj! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,GOOD
11,"The only reason I pay for spotify is so I can listen to music offline, e.g. on the tube","@457088 Thanks. Does the issue happen when downloading playlists, or just on this particular album? /AG",POOR
12,I have been charged twice for the same month of premium,@392478 Hi! We've just sent you a bit more info over DM. We'll carry on helping out there 🙂 /MG,GOOD
13,make a setting where in Offline mode you only see downloaded albums. Saved albums are useless to me when im in offline mode!,@206138 Hey Duncan! Can you DM us your account's username or email address? We'll take a look backstage /PL https://t.co/ldFdZRiNAt,POOR
14,we can't log in,"@554624 Hi, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO https://t.co/ldFdZRiNAt",GOOD
15,Same. I wish Spotify had a calendar view of when new albums come out for artists you follow.,@166518 This sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /JN,GOOD
16,can you please fix ur desktop app it keeps crashing,@401559 Hey there! Can you let us know the operating system and Spotify version you're using? We'll see what we can suggest /RH,GOOD
17,I am still being charged on my visa card even after I have cancelled the subscription. Please give me refund.,@323527 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt,GOOD
18,could you please add these 2 songs by Logic (5 AM — Man of the year) thank you,@554701 Hey! We’ll have them available to you as soon as it’s available to us. There's info about Spotify content here: https://t.co/0i8GpimuDa /AN,POOR
19,And this is not set offline,@422419 Thanks for the info. Can you try giving your iPhone a quick restart? Let us know if it make any difference /SY,PARTIAL
20,Please add Again-Bruno Mars,"@548910 Hey Bryan! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /JP",POOR
21,"The app crashes everytime I try to share a song, then it restarts playing the previous song.",@181185 That doesn't sound right. Does logging out then back in again make any difference? /KM,GOOD
22,all my saved music has been deleted for the second time in 2 weeks. Why is this happening? Can’t listen offline.,"@346858 Hey, that's not cool! Can you DM us your account's username or email address? We'll see what's happening backstage /JM https://t.co/ldFdZRiNAt",GOOD
23,mobile feature request - how about the possibility for folder creation on app just like full/web app. ^RJ,@724399 Hey RJ! Add your vote to this idea to let our devs know it's something you'd like to see: https://t.co/zzzKsfRoPA /SY,GOOD
24,I am trying to sign up for a new account. ios app or web browser (safari&chrome) wont work. help!,@552493 Hey Mike! Could you DM us the email address you're using to set up an account? We'll check things out /AY https://t.co/ldFdZRiNAt,GOOD
25,ill cant log in and when i try to chabge my password it says the code timed out,@224053 Hey Tyler! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,GOOD
26,"why is the web player not working?? Keeps stopping randomly and won't play, driving me crazy 😤😤","@289427 Hi Gloria, help's arrived! Can you let us know your device's operating system and browser version? We'll see what we can suggest /GT",GOOD
27,"hey i just paid for spotify premium but why my account still written ""free""",@415419 Hey there! Can you DM us your account's email address or username? We'll check backstage /AR https://t.co/ldFdZRiNAt,GOOD
28,"my friend signed up for premium, deducted the $4.99 but she’s still on the free account, it won’t let her go premium","@697059 Hey there, that's not cool! Could you DM us the account's username or email address of your friend? We'll take a look backstage /GU https://t.co/ldFdZRiNAt",GOOD
29,Hey the App doesn't work since las update on November 29 on Adroid #OnePlus5T,@230138 Hey! That doesn't sound right. Can you send us your device's exact Android and Spotify versions? We'll see what we can suggest /JP,GOOD
30,Could you please add Apple Safari support for the Web Player?,"@358679 Hey Nico, thanks for reaching out! We'll make sure this gets passed on to the relevant folks 🙂 /DB",GOOD
