text,intent,expected_action
hi! I live in Puerto Rico and just now have access to the internet. I just my bank account and saw that i was charged twice this month?? Help! 😕,Payment_Refund,ESCALATE_TO_HUMAN
I’ve been charged for both student premium and regular premium since July. I’ve been paying $15 a month? Help me fix this.,Family_Student_Plan,AUTO_HANDLE
there is still a bug when I play music on my ps4 I cannot use shuffle mode for any artist also ads will sometimes stop,Playback_Issue,AUTO_HANDLE
"I have the same issue. ""Your account is set to offline - please go online to connect to Spotify."" Oneplus 3T, Oxygen OS 4.5.0 (4G and WiFi)",Downloads_Offline,AUTO_HANDLE
. You guys have charged me twice a month for the last 3three months I'm not happy dm me to fix this,Payment_Refund,ESCALATE_TO_HUMAN
i'm trying to pay for the new $99 a year subscription deal with my card. Any reason why it's not working? Says there's an error.,Premium_Subscription,AUTO_HANDLE
Why do I see a pattern in 's there 'shuffle' play? It doesn't seem that random to me anymore. And it keeps happening ... #spotify #music,Playback_Issue,AUTO_HANDLE
why did the student discount and Hulu get taken off my account and why did I get charged $9.99 for this month of Spotify?,Family_Student_Plan,AUTO_HANDLE
My spotify premium family plan has stopped working?,Family_Student_Plan,AUTO_HANDLE
"I'm currently on iPhone 6, ios 10.3.3 and Spotify 8.4.22.515 version. Just for additional info, no offline songs/playlists.",Downloads_Offline,AUTO_HANDLE
hey guys! I have a problem with my payments. I got charged twice on my card this month. The first pic is the monthly card bill. The second pic is the receipts. The extra payment is on the 9th of November.,Payment_Refund,ESCALATE_TO_HUMAN
can u put 's first album on Spotify please,Music_Content,AUTO_HANDLE
Hey is there any way I can reverse my payment on spotify to make me have the student discount. When I went to change the payment last time the website crashed and now I am being charged extra when I should have the student discount. Please help me thank you,Family_Student_Plan,AUTO_HANDLE
"so my Spotify account is supposed to be student discount-included, yet still you have charged me the full amount. Help?",Family_Student_Plan,AUTO_HANDLE
"I payed but cannot play "" ad free """,Playback_Issue,AUTO_HANDLE
account has been hacked and you have no customer service phone number please contact me ASAP,Account_Security,ESCALATE_TO_HUMAN
it's 2017 why do I have a 3333 offline song limit on my spotify? Do you really want to get that 9.99 a month off me? Ps pls emulate their local files synching.,Downloads_Offline,AUTO_HANDLE
I need help on trying to get my spotify premium student discount! 😭,Family_Student_Plan,AUTO_HANDLE
😕 Why am I logged out and can't log in?,Login_Issue,AUTO_HANDLE
"a new Release with a song of mine Jay Holler ""Wir sind frei"" doubbled my profile on Spotify. Please add the Song ""Wir sind frei"" to my old profile and delete the other ✌️",Music_Content,AUTO_HANDLE
I want to extend my student discount but I don’t see the option on your website. Pls help.,Family_Student_Plan,AUTO_HANDLE
"can't login with my premium account on android system, says that experiencing problem",Login_Issue,AUTO_HANDLE
I'm having the #spotiamb.0.2.1 problem. Have I been hacked? Could you help?,Account_Security,ESCALATE_TO_HUMAN
I just bought the student premium but it's not activating?,Family_Student_Plan,AUTO_HANDLE
Hulu says it cannot authorize my spotify account when trying to sign for the student premium deal. Need help,Family_Student_Plan,AUTO_HANDLE
Can I pay for spotify premium before it expired?,Premium_Subscription,AUTO_HANDLE
Hey please develop a way to make daily mixes available to download to play offline? They're just too good 🕺,Downloads_Offline,AUTO_HANDLE
Seriously annoyed off as my Spotify account has been hacked what do I do???,Account_Security,ESCALATE_TO_HUMAN
Hi what is code 3? Can't accept family invite!,Family_Student_Plan,AUTO_HANDLE
my Spotify username has stolen by someone. Somebody hacked my account and I can't access it. Please help me to get it back.,Account_Security,ESCALATE_TO_HUMAN
but I cannot recover my library. Please help. Don’t think I was hacked as password and email were not changed.,Account_Security,ESCALATE_TO_HUMAN
your iOS app is having trouble keeping the shuffle on I think.,Playback_Issue,AUTO_HANDLE
care to find out why the app is not working?!!!! 2 days in a row now!,App_Technical,AUTO_HANDLE
Can please recognize me as a student soon so I can get the student premium? 🤔,Family_Student_Plan,AUTO_HANDLE
"As far as I have noticed it happens with both albums and playlists, after a while they still appear on my saved music library but they are not available offline (even though I have previously downloaded them). Thank you for the response, I sincerely hope you can solve this :)",Downloads_Offline,AUTO_HANDLE
will you please fix the shuffle function? I’ve been loyal for year. Is this such a big ask? Really?,Playback_Issue,AUTO_HANDLE
hello.. I cannot accept the invitation to Family Plan. Please help!,Family_Student_Plan,AUTO_HANDLE
hey my account “nick_murray4” was hacked and had the email changed on me without me doing it. Can you guys check it out and see if you can get it back to me?,Account_Security,ESCALATE_TO_HUMAN
". Hello. I am having problem to re-activate a family member. System says that a code has been sendt to the mail, but no luck",Family_Student_Plan,AUTO_HANDLE
"Hey , I'm getting real tired of not being able to listen to music and have the app crash all the time. Please fix it.",App_Technical,AUTO_HANDLE
"hey my Facebook account was hacked and I have no way of getting back into it, how do I change my Spotify so it doesn't connect to it",Account_Security,ESCALATE_TO_HUMAN
