text,intent,expected_action,retrieved_message,retrieved_intent,similarity_score_raw,intent_match,rubric,similarity_rubric_score
. feature request: when playing a playlist or album have a position indicator maybe dots or a bar under album art thx luv u,Feature_Request,AUTO_HANDLE,. @SpotifyCares feature request: when playing a playlist or album have a position indicator maybe dots or a bar under album art thx luv u,Feature_Request,1.0,True,GOOD,3
"ok 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least",Account_Security,ESCALATE_TO_HUMAN,"ok @115888 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least",Account_Security,1.0,True,GOOD,3
hi! why isn't there a spotify app for Windows Surface 2? the web player doesn't work :( very disappointing :((,App_Technical,AUTO_HANDLE,@SpotifyCares hi! why isn't there a spotify app for Windows Surface 2? the web player doesn't work :( very disappointing :((,App_Technical,1.0,True,GOOD,3
"I'm still waiting, I pay my m9nwy and no help from you guys, wth am I paying for???? I want a refund now!!!!!!!",Payment_Refund,ESCALATE_TO_HUMAN,"@SpotifyCares I'm still waiting, I pay my m9nwy and no help from you guys, wth am I paying for???? I want a refund now!!!!!!!",Payment_Refund,1.0,True,GOOD,3
music. Only once I got an error that said i couldn't add a song to my queue. Now the option just doesn't exist (2/2,App_Technical,AUTO_HANDLE,@SpotifyCares music. Only once I got an error that said i couldn't add a song to my queue. Now the option just doesn't exist (2/2,Music_Content,1.0,False,POOR,3
"I am having trouble logging in to my account. I can't login with FB, my email or anything. I have a premium account.",Login_Issue,AUTO_HANDLE,"@SpotifyCares I am having trouble logging in to my account. I can't login with FB, my email or anything. I have a premium account.",Login_Issue,1.0,True,GOOD,3
"my family member got kicked off my plan, and we're getting errors when we type in our address to get him back on.Can you help?",Family_Student_Plan,AUTO_HANDLE,"@SpotifyCares my family member got kicked off my plan, and we're getting errors when we type in our address to get him back on.Can you help?",Family_Student_Plan,1.0,True,GOOD,3
fuck you and your piece of shit shuffle feature,Playback_Issue,AUTO_HANDLE,@115888 fuck you and your piece of shit shuffle feature,Playback_Issue,1.0,True,GOOD,3
why are entire albums that were just released on Spotify less than two weeks ago now suddenly saying they are unavailable? Same goes with others that have been on there for years that won't play now. Why even list them?,Playback_Issue,AUTO_HANDLE,@SpotifyCares why are entire albums that were just released on Spotify less than two weeks ago now suddenly saying they are unavailable? Same goes with others that have been on there for years that won't play now. Why even list them?,Playback_Issue,1.0,True,GOOD,3
How is taking up so much room? I delete and redownload bi-weekly. I don't have any offline downloads either. ☹️ #1stWorldProblems,Downloads_Offline,AUTO_HANDLE,How is @115888 taking up so much room? I delete and redownload bi-weekly. I don't have any offline downloads either. ☹️ #1stWorldProblems https://t.co/ctKYZK7mif,Downloads_Offline,1.0,True,GOOD,3
