text,intent,expected_action,human_intent,human_expected_action,review_status,review_notes
. feature request: when playing a playlist or album have a position indicator maybe dots or a bar under album art thx luv u,Feature_Request,AUTO_HANDLE,Feature_Request,AUTO_HANDLE,APPROVED,
"ok 20 msgs, 10 customer serv reps, 6 weeks later, you still havent taken care of my hacked account nor successfully transfer my hacked account to my new account like you promised, includ. my Premium membership. You’d think you’d want to take my money at the very least",Account_Security,ESCALATE_TO_HUMAN,Account_Security,ESCALATE_TO_HUMAN,APPROVED,
hi! why isn't there a spotify app for Windows Surface 2? the web player doesn't work :( very disappointing :((,App_Technical,AUTO_HANDLE,App_Technical,AUTO_HANDLE,APPROVED,
"I'm still waiting, I pay my m9nwy and no help from you guys, wth am I paying for???? I want a refund now!!!!!!!",Payment_Refund,ESCALATE_TO_HUMAN,Payment_Refund,ESCALATE_TO_HUMAN,APPROVED,
music. Only once I got an error that said i couldn't add a song to my queue. Now the option just doesn't exist (2/2,Music_Content,AUTO_HANDLE,App_Technical,AUTO_HANDLE,CORRECTED,"Message describes a missing/broken app feature (add-to-queue option), not a content request."
"I am having trouble logging in to my account. I can't login with FB, my email or anything. I have a premium account.",Login_Issue,AUTO_HANDLE,Login_Issue,AUTO_HANDLE,APPROVED,
"my family member got kicked off my plan, and we're getting errors when we type in our address to get him back on.Can you help?",Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
fuck you and your piece of shit shuffle feature,Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
why are entire albums that were just released on Spotify less than two weeks ago now suddenly saying they are unavailable? Same goes with others that have been on there for years that won't play now. Why even list them?,Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
How is taking up so much room? I delete and redownload bi-weekly. I don't have any offline downloads either. ☹️ #1stWorldProblems,Downloads_Offline,AUTO_HANDLE,Downloads_Offline,AUTO_HANDLE,APPROVED,
"I have a premium account but I want the student discount, but I currently pay with iDeal, and when I want to activate the student deal, I have to fill in my info for a creditcard. Why and is there a way I can pay with iDeal like I am doing now? #Netherlands #Spotify",Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
hi! I just paid for my premium student account but i am still on free??! please fix that. i didnt even got an email but the money is already charged from my bank account,Premium_Subscription,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,CORRECTED,"Issue is student premium activation, matches Family_Student_Plan pattern used elsewhere."
"Either my mobile (android) or desktop (windows 10). It doesnt respond when i click them, if i try shuffle i get ""this song is not available""",Playback_Issue,AUTO_HANDLE,Playback_Issue,AUTO_HANDLE,APPROVED,
help! Was exploring the family plan but then it was actually purchased!,Family_Student_Plan,AUTO_HANDLE,Family_Student_Plan,AUTO_HANDLE,APPROVED,
I was charged for premium 3 days ago... It still shows I have a free account and dont have premium features... Please help. 🙏,Premium_Subscription,AUTO_HANDLE,Premium_Subscription,AUTO_HANDLE,APPROVED,
