text,expected_intent,retrieved_intent,intent_match,similarity_score,historical_reply
"My premium account, suddenly turn in to a free account, I have paid but I just can't go back to premium! I think it is cause of my address",Premium_Subscription,Premium_Subscription,True,1.0000000000000009,@264904 Can you DM us your account's email address? We'll have a look backstage /ST https://t.co/ldFdZRiNAt
"Hey, . . . So, it's 2017, and you guys have THE killer music-streaming app . . . So tell me how I can truly randomize a 300-song shuffle on a 300-song playlist on my mobile device? Come on. Impress me. I fucking DARE you.",Playback_Issue,Playback_Issue,True,1.0000000000000002,@768363 Hi there! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od /DV
hey someone else has been in my account but i changed the PW so np but i was already premium but not anymore whats going on?,Account_Security,Account_Security,True,1.0000000000000002,"@498545 Hey, help's here! Can you send us your account's username or email address via DM? We'll take a look /PL https://t.co/ldFdZRiNAt"
why my hacked Spotify is doing this?,Account_Security,Account_Security,True,1.0,@397725 Hey! What’s happening exactly? Can you let us know the device/OS and Spotify version you’re using? We'll see what we can suggest /CO
Please add last.fm support for remote devices. Really shouldn't be that hard to implement from the backend.,Feature_Request,Feature_Request,True,1.0000000000000002,@340577 We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF
"your adds are more compressed, hasher and alot louder than the music. Sort that out ya nearly blew my ears out and nt near full vol",App_Technical,Music_Content,False,1.0000000000000002,"@563422 Hey! Thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /PL"
I apologize for the confusion. I already have the web player downloaded. What I mean is there used to be add ons/apps within the app. One I recall was Pitchfork. I don't see them anymore. I'm trying to find ways to find music in other countries,Music_Content,Music_Content,True,1.0000000000000002,"@638926 Got it. We're afraid it's no longer available, but thanks for your feedback. We'll be sure to let the right team know it's something you'd like to see again. For anything else, just give us a shout 🙂 /MA"
"Streaming isn’t working, for ex. I can’t listen to any of the xx. And all my offline playlist disappeared.",Downloads_Offline,Downloads_Offline,True,1.0000000000000002,@436840 Thanks. Can you DM us your account's username or email address? We'll take a look backstage /JP https://t.co/ldFdZRiNAt
Hi - where might I find the ‘shuffle entire library’ button?,Playback_Issue,Playback_Issue,True,1.0000000000000002,@710749 Hey Noah! This sounds like a great feature! You can add your support to a similar idea here: https://t.co/4AnYWCNAi4 🙂 /NG
My premium account just expired and I only realized this when I got hit with an advertisement. I didn't get any warnings either - maybe because I'm not the administrator of my family account?? That should likely be fixed.,Premium_Subscription,Premium_Subscription,True,1.0,@298858 Hi Anuj! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt
"The only reason I pay for spotify is so I can listen to music offline, e.g. on the tube",Downloads_Offline,Downloads_Offline,True,1.0,"@457088 Thanks. Does the issue happen when downloading playlists, or just on this particular album? /AG"
I have been charged twice for the same month of premium,Payment_Refund,Payment_Refund,True,1.0,@392478 Hi! We've just sent you a bit more info over DM. We'll carry on helping out there 🙂 /MG
make a setting where in Offline mode you only see downloaded albums. Saved albums are useless to me when im in offline mode!,Feature_Request,Downloads_Offline,False,1.0000000000000002,@206138 Hey Duncan! Can you DM us your account's username or email address? We'll take a look backstage /PL https://t.co/ldFdZRiNAt
we can't log in,Login_Issue,Login_Issue,True,1.0,"@554624 Hi, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO https://t.co/ldFdZRiNAt"
Same. I wish Spotify had a calendar view of when new albums come out for artists you follow.,Feature_Request,Feature_Request,True,1.0,@166518 This sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /JN
can you please fix ur desktop app it keeps crashing,App_Technical,App_Technical,True,1.0000000000000004,@401559 Hey there! Can you let us know the operating system and Spotify version you're using? We'll see what we can suggest /RH
I am still being charged on my visa card even after I have cancelled the subscription. Please give me refund.,Payment_Refund,Payment_Refund,True,1.0000000000000002,@323527 Hey there! Can you DM us your account's username and email address? We'll take a look backstage /SY https://t.co/ldFdZRiNAt
could you please add these 2 songs by Logic (5 AM — Man of the year) thank you,Music_Content,Feature_Request,False,1.0000000000000004,@554701 Hey! We’ll have them available to you as soon as it’s available to us. There's info about Spotify content here: https://t.co/0i8GpimuDa /AN
And this is not set offline,Downloads_Offline,Downloads_Offline,True,1.0,@422419 Thanks for the info. Can you try giving your iPhone a quick restart? Let us know if it make any difference /SY
Please add Again-Bruno Mars,Music_Content,Feature_Request,False,1.0,"@548910 Hey Bryan! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /JP"
"The app crashes everytime I try to share a song, then it restarts playing the previous song.",App_Technical,App_Technical,True,1.0,@181185 That doesn't sound right. Does logging out then back in again make any difference? /KM
all my saved music has been deleted for the second time in 2 weeks. Why is this happening? Can’t listen offline.,Downloads_Offline,Downloads_Offline,True,1.0,"@346858 Hey, that's not cool! Can you DM us your account's username or email address? We'll see what's happening backstage /JM https://t.co/ldFdZRiNAt"
mobile feature request - how about the possibility for folder creation on app just like full/web app. ^RJ,Feature_Request,Feature_Request,True,1.0,@724399 Hey RJ! Add your vote to this idea to let our devs know it's something you'd like to see: https://t.co/zzzKsfRoPA /SY
I am trying to sign up for a new account. ios app or web browser (safari&chrome) wont work. help!,App_Technical,App_Technical,True,1.0,@552493 Hey Mike! Could you DM us the email address you're using to set up an account? We'll check things out /AY https://t.co/ldFdZRiNAt
ill cant log in and when i try to chabge my password it says the code timed out,Login_Issue,Login_Issue,True,1.0000000000000002,@224053 Hey Tyler! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt
